distrito_nombre,agrupacion_nombre,lista_numero,votos_cantidad,eleccion
Formosa,MOVIMIENTO DE ACCION VECINAL,3025.0,533,PASO
Formosa,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD,3026.0,331,PASO
Formosa,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD,3027.0,329,PASO
Formosa,MOVIMIENTO LIBRES DEL SUR,3019.0,1724,PASO
Formosa,POLITICA OBRERA,3020.0,710,PASO
Formosa,PRINCIPIOS Y VALORES,3011.0,4,PASO
Formosa,PRINCIPIOS Y VALORES,3012.0,1,PASO
Formosa,PRINCIPIOS Y VALORES,3013.0,39,PASO
Formosa,PRINCIPIOS Y VALORES,3014.0,31,PASO
Formosa,PRINCIPIOS Y VALORES,3015.0,19,PASO
Formosa,PROYECTO JOVEN,3022.0,38,PASO
Formosa,PROYECTO JOVEN,3023.0,39,PASO
Formosa,PROYECTO JOVEN,3024.0,20,PASO
Formosa,UNION DEL CENTRO DEMOCRATICO,3018.0,31,PASO
Formosa,UNION POR LA PATRIA,3005.0,142965,PASO
Formosa,UNION POR LA PATRIA,3006.0,4627,PASO
Jujuy,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,3009.0,22186,PASO
Jujuy,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,3010.0,6796,PASO
Jujuy,FRENTE LIBER.AR,3002.0,115,PASO
Jujuy,FRENTE LIBER.AR,3003.0,17,PASO
Jujuy,FRENTE LIBER.AR,3004.0,281,PASO
Jujuy,FRENTE PATRIOTA FEDERAL,3021.0,905,PASO
Jujuy,HACEMOS POR NUESTRO PAIS,3001.0,7215,PASO
Jujuy,JUNTOS POR EL CAMBIO,3007.0,76378,PASO
Jujuy,JUNTOS POR EL CAMBIO,3008.0,24030,PASO
Jujuy,LA LIBERTAD AVANZA,3016.0,168142,PASO
Jujuy,MOVIMIENTO AL SOCIALISMO,3017.0,1124,PASO
Jujuy,MOVIMIENTO DE ACCION VECINAL,3025.0,839,PASO
Jujuy,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD,3026.0,713,PASO
Jujuy,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD,3027.0,814,PASO
Jujuy,MOVIMIENTO LIBRES DEL SUR,3019.0,1598,PASO
Jujuy,POLITICA OBRERA,3020.0,1423,PASO
Jujuy,PRINCIPIOS Y VALORES,3011.0,2819,PASO
Jujuy,PRINCIPIOS Y VALORES,3012.0,9,PASO
Jujuy,PRINCIPIOS Y VALORES,3013.0,6,PASO
